Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,GB,DEN,MIA,NE,KC,ATL,1,0.0,1.0,1.0,1.0,1.0,4.0,0,6
aif,GB,IND,TB,KC,MIA,TEN,1,0.0,1.0,1.0,1.0,0.0,3.0,0,6
Andy Molitor,PIT,KC,SEA,NO,SF,CHI,1,2.0,1.0,0.0,0.0,1.0,4.0,0,6
Andy Veit,GB,CHI,SEA,DAL,KC,PIT,1,2.0,1.0,0.0,1.0,1.0,5.0,0,6
bdigital2,GB,PIT,NYJ,ARI,SF,NO,1,2.0,1.0,1.0,0.0,0.0,4.0,0,6
BenJ,LAR,CAR,KC,BUF,SEA,TB,1,2.0,1.0,0.0,1.0,1.0,5.0,0,6
bhead,PIT,SEA,LAR,LV,LAC,NO,1,2.0,1.0,1.0,0.0,0.0,4.0,0,6
BigBill,IND,CAR,NYJ,BAL,CIN,WAS,1,2.0,1.0,0.0,1.0,0.0,4.0,0,6
bjv511,IND,DAL,ATL,KC,PIT,DEN,1,0.0,1.0,1.0,1.0,0.0,3.0,0,6
blwood8,LV,IND,PIT,KC,TB,CIN,1,0.0,1.0,1.0,1.0,1.0,4.0,0,6
BQWhale,GB,SEA,CHI,KC,ATL,NO,1,2.0,1.0,1.0,1.0,0.0,5.0,0,6
brad_wellsandt,GB,WAS,PIT,MIA,SF,ATL,1,0.0,1.0,1.0,0.0,1.0,3.0,0,6
cforrest,PIT,IND,GB,KC,TB,CHI,1,0.0,0.0,1.0,1.0,1.0,3.0,0,6
Chief Wahoo,PIT,LAC,KC,DAL,WAS,LAR,1,0.0,1.0,0.0,0.0,1.0,2.0,0,6
csaul52,GB,DAL,DET,BUF,IND,LAR,1,0.0,0.0,0.0,0.0,1.0,1.0,0,6
Dame,LV,KC,NO,SF,SEA,CHI,1,2.0,0.0,0.0,1.0,1.0,4.0,0,6
donnybaseballl,GB,DET,SEA,NE,IND,DAL,1,0.0,1.0,1.0,0.0,0.0,2.0,0,6
durtybirdz,PIT,KC,NO,JAX,ATL,SF,1,2.0,0.0,0.0,1.0,0.0,3.0,0,6
edub1321,GB,DET,NYJ,PIT,SEA,DAL,1,0.0,1.0,1.0,1.0,0.0,3.0,0,6
GeauxPepper,ARI,ATL,WAS,LAR,NE,LV,0,2.0,0.0,1.0,1.0,1.0,0.0,0,6
gfoster,IND,DET,PIT,WAS,DAL,SEA,1,0.0,1.0,0.0,0.0,1.0,2.0,0,6
Ha'Analytics,LAR,MIA,IND,CAR,CIN,NO,1,2.0,0.0,1.0,1.0,0.0,4.0,0,6
jeff_underscore,GB,BUF,IND,DET,WAS,DAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6
jmsieglaff,LV,LAR,SEA,LAC,TB,BUF,1,2.0,1.0,0.0,1.0,0.0,4.0,0,6
