Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
jrhippy,PIT,BUF,CHI,LAC,NO,DEN,1,0.0,1.0,0.0,0.0,0.0,1.0,0,6
KB,GB,IND,LV,DEN,PIT,KC,1,0.0,1.0,0.0,1.0,1.0,3.0,0,6
Kdube328,LV,MIA,DAL,TB,BUF,CIN,1,2.0,0.0,1.0,0.0,1.0,4.0,0,6
Kell,PIT,SEA,KC,LAC,ARI,TEN,1,2.0,1.0,0.0,1.0,0.0,4.0,0,6
kregs525,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
laterza12,PIT,CHI,ARI,SEA,TB,DAL,1,2.0,1.0,1.0,1.0,0.0,5.0,0,6
LebrarianBooker97497,PIT,IND,TEN,SEA,CIN,ATL,1,0.0,0.0,1.0,1.0,1.0,3.0,0,6
LimRon,GB,IND,BAL,CAR,KC,JAX,1,0.0,0.0,1.0,1.0,0.0,2.0,0,6
magicp18,GB,PIT,IND,JAX,DET,ATL,1,2.0,0.0,0.0,0.0,1.0,3.0,0,6
markj7237,PIT,KC,NO,MIA,DEN,SEA,1,2.0,0.0,1.0,0.0,1.0,4.0,0,6
mattporter328,LAR,IND,CLE,CHI,DAL,NO,1,0.0,0.0,1.0,0.0,0.0,1.0,0,6
mbw_87,IND,KC,NO,DAL,ATL,BAL,1,2.0,0.0,0.0,1.0,0.0,3.0,0,6
melvi$,PIT,CIN,LAR,TB,DAL,CHI,1,2.0,1.0,1.0,0.0,1.0,5.0,0,6
ModelGary,IND,ATL,CIN,CAR,PIT,LAR,1,2.0,1.0,1.0,1.0,1.0,6.0,0,6
MrTuxedo,PIT,KC,DEN,SEA,CAR,NO,1,2.0,0.0,1.0,1.0,0.0,4.0,0,6
nolanscougarpie,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
NotaMushMike,GB,NO,LAR,TEN,ATL,CHI,1,0.0,1.0,0.0,1.0,1.0,3.0,0,6
OddJob,PIT,KC,SEA,PHI,PIT,CHI,1,2.0,1.0,0.0,1.0,1.0,5.0,0,6
PatrickfromSTL,PIT,SEA,MIA,KC,ATL,CHI,1,2.0,1.0,1.0,1.0,1.0,6.0,0,6
Pinnacle,LAR,DEN,DAL,SF,GB,WAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6
Puffinmusket,NE,DET,WAS,DAL,SEA,IND,1,0.0,0.0,0.0,1.0,0.0,1.0,0,6
rburt23,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
scanmanfilms,IND,JAX,MIA,SF,DET,DAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0,6
Southpaw_hack,GB,IND,KC,ATL,SF,TEN,1,0.0,1.0,1.0,0.0,0.0,2.0,0,6
Spasmus,GB,MIA,SEA,CLE,CIN,ATL,1,2.0,1.0,0.0,1.0,1.0,5.0,0,6
stonecoldjake,GB,IND,LAR,SEA,PIT,BUF,1,0.0,1.0,1.0,1.0,0.0,3.0,0,6
Sullyinchicago,GB,SEA,LV,CIN,SEA,NO,1,2.0,1.0,1.0,1.0,0.0,5.0,0,6
teapars2,JAX,TEN,KC,CAR,CHI,NO,0,0.0,1.0,1.0,1.0,0.0,0.0,0,6
thebutt3r,GB,JAX,NYJ,CAR,PIT,NO,1,0.0,1.0,1.0,1.0,0.0,3.0,0,6
TheWizardofRaz,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
TwoBros,PIT,SEA,CIN,IND,DAL,TB,1,2.0,1.0,0.0,0.0,1.0,4.0,0,6
Unhallowed318,IND,LAR,SEA,LAC,LV,TB,1,2.0,1.0,0.0,1.0,1.0,5.0,0,6
VD,TEN,DEN,JAX,DET,PIT,NE,0,0.0,0.0,0.0,1.0,1.0,0.0,0,6
Wilkman,PIT,LV,JAX,LAC,IND,KC,1,2.0,0.0,0.0,0.0,1.0,3.0,0,6
wix87,GB,KC,SEA,CAR,NO,CHI,1,2.0,1.0,1.0,0.0,1.0,5.0,0,6
Yeager,GB,IND,BAL,NO,PIT,TEN,1,0.0,0.0,0.0,1.0,0.0,1.0,0,6
YouDeadMySon,LAR,IND,SF,,KC,SEA,1,0.0,0.0,0.0,1.0,1.0,2.0,0,6
zach voigt,PIT,DEN,GB,NYG,LAR,DAL,1,0.0,0.0,1.0,1.0,0.0,2.0,0,6
