Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
Puffinmusket,DAL,DEN,PHI,NO,BUF,NE,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
rburt23,BAL,DEN,CAR,NE,PIT,CIN,1,0.0,1.0,1.0,0.0,0.0,2.0,0,2
scanmanfilms,LAR,DEN,NE,CAR,TB,NYJ,1,0.0,1.0,1.0,1.0,0.0,3.0,0,2
Southpaw_hack,DAL,DEN,WAS,BAL,HOU,ATL,1,0.0,0.0,1.0,0.0,1.0,2.0,0,2
Spasmus,LAR,DEN,LV,ATL,SF,NE,1,0.0,0.0,1.0,1.0,1.0,3.0,0,2
stonecoldjake,BAL,ARI,KC,DET,TB,JAX,1,0.0,0.0,1.0,1.0,1.0,3.0,0,2
Sullyinchicago,NE,DET,CIN,CLE,DAL,DEN,1,2.0,0.0,0.0,0.0,0.0,2.0,0,2
teapars2,LAC,DEN,SF,PIT,LAR,TB,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
thebutt3r,ARI,LAC,DEN,ATL,HOU,WAS,1,2.0,0.0,1.0,0.0,0.0,3.0,0,2
TheWizardofRaz,LAR,DAL,PIT,CIN,ARI,NO,1,0.0,0.0,0.0,0.0,0.0,0.0,0,2
TwoBros,DAL,TB,PHI,DEN,DET,ATL,1,2.0,1.0,0.0,1.0,1.0,5.0,0,2
Unhallowed318,BAL,ARI,NE,CIN,DET,LAC,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
VD,DAL,DET,BUF,CLE,KC,NE,1,2.0,1.0,0.0,0.0,1.0,4.0,0,2
Wilkman,DAL,DET,TB,NO,DEN,LV,1,2.0,1.0,0.0,0.0,0.0,3.0,0,2
wix87,DAL,NYJ,ATL,MIA,TEN,PHI,1,0.0,1.0,0.0,0.0,1.0,2.0,0,2
Yeager,ARI,DAL,WAS,DEN,SEA,LAR,1,0.0,0.0,0.0,1.0,1.0,2.0,0,2
YouDeadMySon,DAL,PHI,LAC,NYJ,GB,DEN,1,2.0,1.0,0.0,1.0,0.0,4.0,0,2
zach voigt,DAL,BAL,NYJ,ATL,TB,PIT,1,2.0,0.0,1.0,1.0,0.0,4.0,0,2
