Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,LAR,SEA,WAS,DEN,DAL,TB,1,2.0,0.0,0.0,0.0,1.0,3.0,0,2
aif,ARI,DAL,TEN,NYJ,DEN,PIT,1,0.0,0.0,0.0,0.0,0.0,0.0,0,2
Andy Molitor,BAL,LAC,DEN,LAR,CIN,TB,1,2.0,0.0,1.0,0.0,1.0,4.0,0,2
Andy Veit,BAL,DEN,SF,DAL,NE,ATL,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
bdigital2,DAL,ATL,WAS,TB,BAL,NYJ,1,2.0,0.0,1.0,1.0,0.0,4.0,0,2
BenJ,DAL,WAS,DET,ATL,LV,SEA,1,0.0,1.0,1.0,0.0,1.0,3.0,0,2
bhead,BAL,DEN,LAR,SEA,KC,CHI,1,0.0,1.0,1.0,0.0,0.0,2.0,0,2
BigBill,DAL,WAS,CLE,CAR,DEN,TB,1,0.0,0.0,1.0,0.0,1.0,2.0,0,2
bjv511,DAL,BAL,CIN,DET,DEN,KC,1,2.0,0.0,1.0,0.0,0.0,3.0,0,2
blwood8,LAR,DET,NYG,DEN,MIA,ATL,1,2.0,1.0,0.0,0.0,1.0,4.0,0,2
BQWhale,DAL,ATL,HOU,DEN,PHI,LAC,1,2.0,0.0,0.0,1.0,1.0,4.0,0,2
brad_wellsandt,ARI,BUF,LV,KC,IND,DET,1,2.0,0.0,0.0,1.0,1.0,4.0,0,2
cforrest,DAL,DEN,PHI,NYJ,SEA,HOU,1,0.0,1.0,0.0,1.0,0.0,2.0,0,2
Chief Wahoo,DAL,LAC,KC,ARI,PIT,SF,1,2.0,0.0,0.0,0.0,1.0,3.0,0,2
csaul52,ARI,DEN,BUF,JAC,LAC,LAR,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
Dame,BAL,DET,CIN,TEN,NYJ,DEN,1,2.0,0.0,0.0,0.0,0.0,2.0,0,2
donnybaseballl,ARI,LAC,DEN,PHI,LAR,NE,1,2.0,0.0,1.0,1.0,1.0,5.0,0,2
durtybirdz,LAR,ATL,HOU,NYJ,MIA,WAS,1,2.0,0.0,0.0,0.0,0.0,2.0,0,2
edub1321,BAL,NO,JAX,NYG,ATL,LV,1,0.0,1.0,1.0,1.0,0.0,3.0,0,2
GeauxPepper,LAR,NE,WAS,TB,NYJ,NYG,1,2.0,0.0,1.0,0.0,1.0,4.0,0,2
gfoster,DAL,TB,LAR,DEN,PIT,BAL,1,2.0,1.0,0.0,0.0,1.0,4.0,0,2
Ha'Analytics,BAL,ARI,LAC,SEA,BUF,ATL,1,0.0,1.0,1.0,1.0,1.0,4.0,0,2
jeff_underscore,DAL,LAR,SEA,TB,ATL,CIN,1,2.0,1.0,1.0,1.0,0.0,5.0,0,2
jmsieglaff,ARI,DEN,NE,WAS,ATL,NYG,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
jrhippy,BAL,CIN,DAL,NYJ,DEN,PHI,1,0.0,0.0,0.0,0.0,1.0,1.0,0,2
KB,BAL,DEN,SF,SEA,NYJ,LAC,1,0.0,1.0,1.0,0.0,1.0,3.0,0,2
Kdube328,DAL,CIN,DEN,TB,KC,DET,1,0.0,0.0,1.0,0.0,1.0,2.0,0,2
Kell,ARI,DEN,NE,SEA,PHI,NYJ,1,0.0,1.0,1.0,1.0,0.0,3.0,0,2
kregs525,BAL,DET,TEN,LAC,NYJ,ARI,1,2.0,0.0,1.0,0.0,0.0,3.0,0,2
laterza12,DAL,DEN,ATL,CHI,WAS,LAR,1,0.0,1.0,0.0,0.0,1.0,2.0,0,2
LebrarianBooker97497,DAL,DEN,LAC,LAR,TB,DAL,1,0.0,1.0,1.0,1.0,0.0,3.0,0,2
LimRon,BAL,DEN,DET,TEN,LAC,ATL,1,0.0,1.0,0.0,1.0,1.0,3.0,0,2
magicp18,ARI,DET,WAS,DEN,HOU,LAR,1,2.0,0.0,0.0,0.0,1.0,3.0,0,2
markj7237,DAL,SF,SEA,DEN,LAC,KC,1,2.0,1.0,0.0,1.0,0.0,4.0,0,2
mattporter328,ARI,DEN,WAS,NYJ,MIN,LAC,1,0.0,0.0,0.0,0.0,1.0,1.0,0,2
mbw_87,DAL,DEN,NYJ,SF,TEN,ATL,1,0.0,0.0,1.0,0.0,1.0,2.0,0,2
melvi$,BAL,DEN,WAS,NE,ATL,JAX,1,0.0,0.0,1.0,1.0,1.0,3.0,0,2
ModelGary,ARI,LV,DET,DEN,BAL,PIT,1,0.0,1.0,0.0,1.0,0.0,2.0,0,2
MrTuxedo,ARI,DEN,CIN,SEA,ATL,HOU,1,0.0,0.0,1.0,1.0,0.0,2.0,0,2
nolanscougarpie,BAL,DEN,JAX,SEA,NYJ,HOU,1,0.0,1.0,1.0,0.0,0.0,2.0,0,2
NotaMushMike,BAL,ARI,SEA,LAR,ATL,TB,1,0.0,1.0,1.0,1.0,1.0,4.0,0,2
OddJob,ARI,DEN,NYJ,SEA,SF,ATL,1,0.0,0.0,1.0,1.0,1.0,3.0,0,2
PatrickfromSTL,BAL,DEN,ATL,SF,LAR,NE,1,0.0,1.0,1.0,1.0,1.0,4.0,0,2
Pinnacle,ARI,SF,DET,SEA,NYJ,TB,1,2.0,1.0,1.0,0.0,1.0,5.0,0,2
