Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
magicp18,IND,CIN,ATL,PHI,DEN,TB,1,0.0,0.0,1.0,1.0,1.0,3.0,0,8
markj7237,IND,NYG,SF,NO,CLE,GB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,8
mattporter328,CIN,CHI,DAL,TB,MIA,WAS,0,0.0,0.0,1.0,1.0,0.0,0.0,0,8
mbw_87,ATL,PIT,CAR,DAL,TB,BAL,0,0.0,0.0,0.0,1.0,1.0,0.0,0,8
melvi$,IND,CHI,TB,NYG,DAL,KC,1,0.0,1.0,0.0,0.0,1.0,2.0,0,8
ModelGary,ATL,DAL,CHI,IND,BUF,CLE,0,0.0,0.0,1.0,1.0,0.0,0.0,0,8
MrTuxedo,IND,GB,HOU,CHI,CLE,KC,1,2.0,1.0,0.0,0.0,1.0,4.0,0,8
nolanscougarpie,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
NotaMushMike,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
OddJob,CIN,CHI,NE,CAR,DAL,GB,0,0.0,1.0,0.0,0.0,1.0,0.0,0,8
PatrickfromSTL,IND,CHI,GB,TB,DAL,WAS,1,0.0,1.0,1.0,0.0,0.0,2.0,0,8
Pinnacle,ATL,IND,CHI,TB,NYG,DAL,0,2.0,0.0,1.0,0.0,0.0,0.0,0,8
Puffinmusket,IND,NE,ATL,GB,TEN,HOU,1,2.0,0.0,1.0,0.0,1.0,4.0,0,8
rburt23,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
scanmanfilms,KC,CLE,DAL,BUF,SF,TB,1,0.0,0.0,1.0,0.0,1.0,2.0,0,8
Southpaw_hack,IND,TB,CHI,CAR,KC,SF,1,2.0,0.0,0.0,1.0,0.0,3.0,0,8
Spasmus,CIN,CHI,DAL,HOU,CLE,WAS,0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
stonecoldjake,IND,ATL,TB,NYJ,NE,BUF,1,0.0,1.0,1.0,1.0,1.0,4.0,0,8
Sullyinchicago,IND,CHI,NYG,HOU,GB,WAS,1,0.0,0.0,1.0,1.0,0.0,2.0,0,8
teapars2,IND,CIN,BUF,TB,NYG,MIA,1,0.0,1.0,1.0,0.0,1.0,3.0,0,8
thebutt3r,ATL,BUF,GB,HOU,MIN,DAL,0,2.0,1.0,1.0,0.0,0.0,0.0,0,8
TheWizardofRaz,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
TwoBros,IND,NE,DAL,SF,TB,MIA,1,2.0,0.0,0.0,1.0,1.0,4.0,0,8
Unhallowed318,CIN,TB,PHI,CIN,DAL,PIT,0,2.0,1.0,0.0,0.0,0.0,0.0,0,8
VD,NE,BUF,CHI,SF,PIT,LAC,1,2.0,0.0,0.0,0.0,1.0,3.0,0,8
Wilkman,CIN,TB,CHI,NYG,DAL,SF,0,2.0,0.0,0.0,0.0,0.0,0.0,0,8
wix87,IND,HOU,NYJ,DAL,GB,WAS,1,2.0,1.0,0.0,1.0,0.0,4.0,0,8
Yeager,IND,CHI,NYJ,MIA,BUF,KC,1,0.0,1.0,1.0,1.0,1.0,4.0,0,8
YouDeadMySon,CIN,SF,GB,PHI,IND,CHI,0,0.0,1.0,1.0,1.0,0.0,0.0,0,8
zach voigt,ATL,CHI,DAL,SF,TB,IND,0,0.0,0.0,0.0,1.0,1.0,0.0,0,8
