Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,ATL,TB,HOU,CHI,NYG,IND,0,2.0,1.0,0.0,0.0,1.0,0.0,0,8
aif,CIN,CHI,ATL,GB,KC,DAL,0,0.0,0.0,1.0,1.0,0.0,0.0,0,8
Andy Molitor,ATL,DAL,TB,CAR,NYJ,NE,0,0.0,1.0,0.0,1.0,1.0,0.0,0,8
Andy Veit,KC,CHI,MIA,TB,DAL,SF,1,0.0,1.0,1.0,0.0,0.0,2.0,0,8
bdigital2,IND,CHI,DEN,WAS,MIA,NE,1,0.0,1.0,0.0,1.0,1.0,3.0,0,8
BenJ,IND,TB,NYG,SF,IND,GB,1,2.0,0.0,0.0,1.0,1.0,4.0,0,8
bhead,IND,CIN,CHI,BUF,NE,KC,1,0.0,0.0,1.0,1.0,1.0,3.0,0,8
BigBill,BUF,TB,SF,NYG,CLE,DAL,1,2.0,0.0,0.0,0.0,0.0,2.0,0,8
bjv511,KC,NYG,ATL,CIN,NE,DAL,1,0.0,0.0,0.0,1.0,0.0,1.0,0,8
blwood8,IND,CHI,MIA,WAS,HOU,BUF,1,0.0,1.0,0.0,1.0,1.0,3.0,0,8
BQWhale,ATL,HOU,DEN,IND,BUF,NYJ,0,2.0,1.0,1.0,1.0,1.0,0.0,1,8
brad_wellsandt,ATL,CAR,TB,SF,GB,WAS,0,0.0,1.0,0.0,1.0,0.0,0.0,0,8
cforrest,IND,CHI,KC,DAL,MIA,CAR,1,0.0,1.0,0.0,1.0,0.0,2.0,0,8
Chief Wahoo,IND,PHI,DAL,GB,MIA,SF,1,2.0,0.0,1.0,1.0,0.0,4.0,0,8
csaul52,ATL,CHI,DAL,CIN,GB,BUF,0,0.0,0.0,0.0,1.0,1.0,0.0,0,8
Dame,ATL,CHI,TB,DEN,PIT,IND,0,0.0,1.0,1.0,0.0,1.0,0.0,0,8
donnybaseballl,ATL,TB,CHI,DAL,SF,IND,0,2.0,0.0,0.0,0.0,1.0,0.0,0,8
durtybirdz,ATL,CHI,HOU,CLE,GB,DEN,0,0.0,1.0,0.0,1.0,1.0,0.0,0,8
edub1321,IND,MIA,NYG,CLE,HOU,BUF,1,2.0,0.0,0.0,1.0,1.0,4.0,0,8
GeauxPepper,MIN,CHI,TB,WAS,MIA,NYG,0,0.0,1.0,0.0,1.0,0.0,0.0,0,8
gfoster,CIN,CHI,NYG,MIA,HOU,PIT,0,0.0,0.0,1.0,1.0,0.0,0.0,0,8
Ha'Analytics,ATL,NYJ,SF,TB,PHI,CLE,0,2.0,0.0,1.0,1.0,0.0,0.0,0,8
jeff_underscore,ATL,TB,CHI,SF,GB,DAL,0,2.0,0.0,0.0,1.0,0.0,0.0,0,8
jmsieglaff,IND,TB,NYG,CAR,SF,DAL,1,2.0,0.0,0.0,0.0,0.0,2.0,0,8
jrhippy,CIN,CHI,GB,CLE,PHI,WAS,0,0.0,1.0,0.0,1.0,0.0,0.0,0,8
KB,CIN,CHI,BUF,TB,MIA,WAS,0,0.0,1.0,1.0,1.0,0.0,0.0,0,8
Kdube328,ATL,TB,IND,LAC,SF,BAL,0,2.0,1.0,1.0,0.0,1.0,0.0,0,8
Kell,IND,DAL,GB,NE,TB,CAR,1,0.0,1.0,1.0,1.0,0.0,3.0,0,8
kregs525,IND,DAL,WAS,NYG,TB,GB,1,0.0,0.0,0.0,1.0,1.0,2.0,0,8
laterza12,IND,SF,CLE,CHI,WAS,TB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,8
LebrarianBooker97497,ATL,CHI,DAL,SF,NYG,CAR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8
LimRon,BUF,DAL,GB,WAS,NYJ,TEN,1,0.0,1.0,0.0,1.0,0.0,2.0,0,8
