Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,ARI,DEN,NYJ,MIA,SEA,BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1
aif,DEN,SEA,KC,NYG,NO,GB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
Andy Molitor,DEN,BAL,NO,CLE,TB,JAX,1,0.0,0.0,1.0,1.0,1.0,3.0,0,1
Andy Veit,DEN,KC,CHI,NO,CIN,ATL,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1
bdigital2,JAX,KC,GB,CIN,SEA,TEN,1,0.0,1.0,0.0,0.0,1.0,2.0,0,1
bhead,ARI,NE,BAL,PIT,KC,GB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
BigBill,ARI,PHI,LV,TEN,BUF,MIN,1,0.0,1.0,1.0,1.0,1.0,4.0,0,1
bjv511,DEN,PIT,CLE,JAX,NO,BAL,1,0.0,1.0,1.0,0.0,0.0,2.0,0,1
blwood8,PIT,DEN,CIN,JAX,HOU,NO,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1
brad_wellsandt,JAX,SF,KC,WAS,NO,HOU,1,2.0,0.0,1.0,0.0,0.0,3.0,0,1
cforrest,ARI,BAL,SEA,HOU,WAS,GB,1,0.0,0.0,0.0,1.0,1.0,2.0,0,1
Chief Wahoo,DEN,KC,PIT,MIA,JAX,LAR,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
csaul52,PIT,TB,ARI,WAS,LV,DEN,1,2.0,1.0,1.0,1.0,0.0,5.0,0,1
Dame,ARI,BAL,SEA,GB,MIN,NYG,1,0.0,0.0,1.0,1.0,0.0,2.0,0,1
donnybaseballl,DEN,BAL,SF,TB,IND,NE,1,0.0,1.0,1.0,1.0,0.0,3.0,0,1
edub1321,DEN,MIA,DAL,KC,BUF,CHI,1,0.0,1.0,0.0,1.0,0.0,2.0,0,1
GeauxPepper,PHI,BAL,SEA,NO,PIT,TEN,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
gfoster,WAS,DAL,KC,CIN,BUF,TB,1,2.0,0.0,0.0,1.0,1.0,4.0,0,1
Ha'Analytics,PHI,KC,NO,JAX,PIT,SEA,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1
jeff_underscore,DEN,SF,BAL,PIT,LV,CIN,1,2.0,0.0,0.0,1.0,0.0,3.0,0,1
jmsieglaff,PHI,MIN,GB,CIN,CAR,PIT,1,2.0,1.0,0.0,0.0,0.0,3.0,0,1
jrhippy,ARI,JAX,NYG,TB,BAL,SEA,1,2.0,0.0,1.0,0.0,0.0,3.0,0,1
KB,DEN,JAX,NE,NO,HOU,BAL,1,2.0,0.0,0.0,0.0,0.0,2.0,0,1
Kdube328,DEN,NO,KC,PIT,WAS,NE,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
Kell,DEN,BAL,GB,TB,NE,PIT,1,0.0,1.0,1.0,0.0,0.0,2.0,0,1
kregs525,PHI,ATL,NO,SEA,NE,DEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1
