Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,NE,CLE,JAX,DAL,KC,PHI,1,2.0,0.0,1.0,1.0,1.0,5.0,0,7
aif,CHI,ATL,SEA,CAR,GB,DAL,1,0.0,1.0,1.0,0.0,1.0,3.0,0,7
Andy Molitor,NE,SEA,IND,DAL,ATL,NYG,1,2.0,1.0,1.0,0.0,1.0,5.0,0,7
Andy Veit,NE,SEA,CHI,GB,NYG,DAL,1,2.0,1.0,0.0,1.0,1.0,5.0,0,7
bdigital2,NE,JAX,NO,LAC,DET,HOU,1,0.0,0.0,0.0,1.0,0.0,1.0,0,7
BenJ,DEN,ATL,KC,PHI,DET,TEN,1,0.0,1.0,1.0,1.0,0.0,3.0,0,7
bhead,NE,PHI,SF,DET,KC,CHI,1,2.0,1.0,1.0,1.0,1.0,6.0,0,7
BigBill,KC,JAX,CLE,NO,IND,NYG,1,0.0,1.0,0.0,1.0,1.0,3.0,0,7
bjv511,NE,ATL,SEA,JAX,GB,DET,1,0.0,1.0,0.0,0.0,1.0,2.0,0,7
blwood8,KC,DET,NO,DEN,SEA,DAL,1,2.0,0.0,0.0,1.0,1.0,4.0,0,7
BQWhale,CLE,LAC,JAX,SEA,DET,NO,1,0.0,0.0,1.0,1.0,0.0,2.0,0,7
brad_wellsandt,KC,SF,NO,DET,MIA,LAC,1,2.0,0.0,1.0,0.0,0.0,3.0,0,7
cforrest,KC,LV,PHI,GB,CAR,ATL,1,0.0,1.0,0.0,1.0,0.0,2.0,0,7
Chief Wahoo,KC,CIN,MIN,DEN,GB,DET,1,2.0,0.0,0.0,0.0,1.0,3.0,0,7
csaul52,KC,PHI,CHI,NYJ,IND,SEA,1,2.0,1.0,0.0,1.0,1.0,5.0,0,7
Dame,KC,LAC,DAL,CAR,NE,NYG,1,0.0,1.0,1.0,1.0,1.0,4.0,0,7
donnybaseballl,NE,GB,DAL,SF,CAR,DET,1,0.0,1.0,1.0,1.0,1.0,4.0,0,7
durtybirdz,DEN,DET,NO,LAC,ATL,DAL,1,2.0,0.0,0.0,0.0,1.0,3.0,0,7
edub1321,CHI,MIA,LAR,LV,WAS,SEA,1,0.0,1.0,0.0,0.0,1.0,2.0,0,7
GeauxPepper,CIN,GB,DET,LAC,MIN,KC,1,0.0,1.0,0.0,0.0,1.0,2.0,0,7
gfoster,CHI,MIA,DET,WAS,IND,SEA,1,0.0,1.0,0.0,1.0,1.0,3.0,0,7
Ha'Analytics,KC,DEN,SF,CAR,LAC,NO,1,0.0,1.0,1.0,0.0,0.0,2.0,0,7
jeff_underscore,NE,IND,LAR,CAR,ATL,SEA,1,2.0,1.0,1.0,0.0,1.0,5.0,0,7
jmsieglaff,CHI,SEA,NE,NYG,GB,CIN,1,2.0,1.0,1.0,0.0,1.0,5.0,0,7
jrhippy,DEN,GB,DET,NYJ,KC,NO,1,0.0,1.0,0.0,1.0,0.0,2.0,0,7
KB,NE,JAX,CAR,NYG,MIA,NO,1,0.0,1.0,1.0,0.0,0.0,2.0,0,7
Kdube328,KC,SEA,NE,DAL,NO,IND,1,2.0,1.0,1.0,0.0,1.0,5.0,0,7
Kell,NE,LAC,NO,CLE,CAR,DET,1,0.0,0.0,1.0,1.0,1.0,3.0,0,7
kregs525,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
laterza12,KC,CLE,DET,DAL,CHI,NYG,1,2.0,1.0,1.0,1.0,1.0,6.0,0,7
LebrarianBooker97497,KC,NO,DAL,CLE,SEA,CAR,1,0.0,1.0,1.0,1.0,1.0,4.0,0,7
LimRon,KC,DET,NYG,TEN,DAL,NYJ,1,2.0,1.0,0.0,1.0,0.0,4.0,0,7
magicp18,NE,LAC,NYJ,DEN,SF,DET,1,0.0,0.0,0.0,1.0,1.0,2.0,0,7
markj7237,CLE,NYG,DET,TEN,CAR,SF,1,2.0,1.0,0.0,1.0,1.0,5.0,0,7
mattporter328,KC,CAR,DET,CLE,DAL,IND,1,2.0,1.0,1.0,1.0,1.0,6.0,0,7
mbw_87,CLE,DAL,DET,MIN,SEA,LAC,1,2.0,1.0,0.0,1.0,0.0,4.0,0,7
melvi$,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
ModelGary,KC,DAL,CLE,MIN,DET,SEA,1,2.0,1.0,0.0,1.0,1.0,5.0,0,7
MrTuxedo,GB,CAR,JAX,CLE,TEN,ATL,1,2.0,0.0,1.0,0.0,0.0,3.0,0,7
nolanscougarpie,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
NotaMushMike,CLE,NO,JAX,DAL,DET,HOU,1,0.0,0.0,1.0,1.0,0.0,2.0,0,7
OddJob,CLE,KC,MIA,MIN,CAR,DAL,1,2.0,0.0,0.0,1.0,1.0,4.0,0,7
PatrickfromSTL,KC,SEA,NO,MIN,CAR,TB,1,2.0,0.0,0.0,1.0,0.0,3.0,0,7
Pinnacle,KC,DET,NO,LAC,CLE,SEA,1,2.0,0.0,0.0,1.0,1.0,4.0,0,7
Puffinmusket,KC,NE,ATL,DAL,GB,DET,1,2.0,0.0,1.0,0.0,1.0,4.0,0,7
rburt23,KC,TB,LV,CLE,PHI,GB,1,0.0,0.0,1.0,1.0,0.0,2.0,0,7
scanmanfilms,CAR,DAL,NYG,JAX,IND,NO,1,2.0,1.0,0.0,1.0,0.0,4.0,0,7
Southpaw_hack,KC,CAR,CLE,NO,SF,LAC,1,2.0,1.0,0.0,1.0,0.0,4.0,0,7
Spasmus,CAR,MIN,ARI,DAL,JAX,CLE,1,0.0,1.0,1.0,0.0,1.0,3.0,0,7
stonecoldjake,KC,IND,CHI,SEA,NE,,1,2.0,1.0,1.0,1.0,0.0,5.0,0,7
Sullyinchicago,CHI,GB,LV,PHI,CAR,DAL,1,0.0,0.0,1.0,1.0,1.0,3.0,0,7
teapars2,KC,JAX,DAL,CAR,SEA,NE,1,0.0,1.0,1.0,1.0,1.0,4.0,0,7
thebutt3r,CHI,KC,CIN,NYG,TEN,SF,1,2.0,1.0,1.0,0.0,1.0,5.0,0,7
TheWizardofRaz,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
TwoBros,KC,NYG,IND,SEA,LAR,CLE,1,2.0,1.0,1.0,1.0,1.0,6.0,0,7
Unhallowed318,NE,KC,CHI,DEN,GB,DET,1,2.0,1.0,0.0,0.0,1.0,4.0,0,7
VD,CHI,JAX,LV,SEA,DAL,NYJ,1,0.0,0.0,1.0,1.0,0.0,2.0,0,7
Wilkman,NE,SEA,ATL,NYG,LAC,CLE,1,2.0,0.0,1.0,0.0,1.0,4.0,0,7
wix87,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
Yeager,NE,MIA,DAL,SEA,KC,NO,1,0.0,1.0,1.0,1.0,0.0,3.0,0,7
YouDeadMySon,PIT,LAC,LV,WAS,NYG,MIA,0,0.0,0.0,0.0,1.0,0.0,0.0,0,7
zach voigt,NE,PIT,CAR,NYG,ATL,SEA,1,0.0,1.0,1.0,0.0,1.0,3.0,0,7
