Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,KC,SEA,LAR,NE,DAL,SF,1,2.0,0.0,0.0,0.0,0.0,2.0,0,3
aif,SEA,LAC,CIN,DAL,GB,BAL,1,2.0,0.0,0.0,0.0,0.0,2.0,0,3
Andy Molitor,SEA,DAL,CAR,CIN,NYJ,NO,1,0.0,1.0,0.0,1.0,0.0,2.0,0,3
Andy Veit,SEA,SF,GB,NYJ,HOU,WAS,1,0.0,0.0,1.0,0.0,1.0,2.0,0,3
bdigital2,ATL,SF,CIN,TEN,NO,BAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
BenJ,gb,nyj,ne,cin,ten,dal,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
bhead,sea,cin,was,tb,sf,det,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
BigBill,SEA,NYJ,TEN,LV,NE,NYG,1,2.0,0.0,0.0,0.0,0.0,2.0,0,3
bjv511,ATL,LAR,HOU,CIN,SF,BAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
blwood8,SEA,LAC,IND,BAL,DAL,NYG,1,2.0,1.0,0.0,0.0,0.0,3.0,0,3
BQWhale,SEA,CLE,LAR,SF,NYJ,DAL,1,2.0,0.0,0.0,1.0,0.0,3.0,0,3
brad_wellsandt,SEA,KC,CAR,WAS,PHI,BAL,1,2.0,1.0,1.0,1.0,0.0,5.0,0,3
cforrest,SEA,NE,LAC,LAR,SF,DAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0,3
Chief Wahoo,sea,was,ne,lar,nyj,lac,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
csaul52,SEA,DAL,LAC,NYG,NE,BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0,3
Dame,SEA,LAC,WAS,CIN,DAL,SF,1,2.0,1.0,0.0,0.0,0.0,3.0,0,3
donnybaseballl,SEA,WAS,HOU,LAC,DAL,CAR,1,2.0,0.0,1.0,0.0,1.0,4.0,0,3
durtybirdz,GB,NYJ,TEN,CIN,LAC,LV,0,2.0,0.0,0.0,1.0,0.0,0.0,0,3
edub1321,SEA,LAR,CLE,NE,DAL,BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0,3
GeauxPepper,SEA,NE,GB,HOU,LAC,LAR,1,0.0,0.0,0.0,1.0,0.0,1.0,0,3
gfoster,tb,bal,lar,den,ne,cin,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
Ha'Analytics,WAS,LAC,KC,NYJ,NE,SF,1,2.0,1.0,1.0,0.0,0.0,4.0,0,3
jeff_underscore,sea,dal,sf,gb,hou,lac,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
jmsieglaff,SEA,LAC,BAL,NYJ,CIN,SF,1,2.0,0.0,1.0,0.0,0.0,3.0,0,3
jrhippy,gb,hou,no,nyj,den,dal,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
KB,kc,cin,ne,was,hou,no,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
Kdube328,sea,dal,cin,ne,car,sf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
Kell,SEA,BAL,NYJ,CIN,NYG,NE,1,0.0,1.0,0.0,0.0,0.0,1.0,0,3
kregs525,sea,cle,ten,atl,dal,lac,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
laterza12,sea,ne,cin,nyj,lac,dal,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
LebrarianBooker97497,gb,lar,nyj,no,min,atl,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
LimRon,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
magicp18,BUF,SF,SEA,PIT,MIN,JAX,1,0.0,1.0,1.0,1.0,1.0,4.0,0,3
markj7237,sea,bal,sf,lac,phi,ten,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
mattporter328,gb,no,sf,lar,lac,car,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
mbw_87,SEA,SF,TEN,CAR,LAR,CIN,1,0.0,0.0,1.0,0.0,0.0,1.0,0,3
melvi$,GB,LAC,LV,CIN,NYJ,ATL,0,2.0,0.0,0.0,1.0,0.0,0.0,0,3
ModelGary,SEA,NYJ,DAL,BAL,NYG,IND,1,2.0,0.0,0.0,0.0,1.0,3.0,0,3
MrTuxedo,SEA,SF,CAR,NYJ,CHI,BAL,1,0.0,1.0,1.0,1.0,0.0,3.0,0,3
