Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,HOU,GB,NO,NE,JAX,MIA,1,0.0,1.0,1.0,1.0,1.0,4.0,0,4
aif,BUF,ATL,GB,IND,SF,BAL,1,2.0,0.0,0.0,0.0,0.0,2.0,0,4
Andy Molitor,DET,NYJ,GB,NO,SF,BAL,1,0.0,0.0,1.0,0.0,0.0,1.0,0,4
Andy Veit,,GB,BAL,CHI,LAC,WAS,0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
bdigital2,HOU,DET,LAS,ATL,MIA,LAR,1,2.0,0.0,1.0,1.0,1.0,5.0,0,4
BenJ,NE,MIN,JAX,BAL,MIA,CIN,1,0.0,1.0,0.0,1.0,0.0,2.0,0,4
bhead,HOU,ATL,NO,BAL,GB,NE,1,2.0,1.0,0.0,0.0,1.0,4.0,0,4
BigBill,LAC,BAL,TB,CLE,IND,DEN,0,0.0,0.0,0.0,0.0,1.0,0.0,0,4
bjv511,HOU,SF,NO,GB,DET,CIN,1,0.0,1.0,0.0,1.0,0.0,2.0,0,4
blwood8,HOU,DET,ATL,LV,GB,LAR,1,2.0,1.0,0.0,0.0,1.0,4.0,0,4
BQWhale,HOU,ATL,LAR,DET,LV,MIA,1,2.0,1.0,1.0,0.0,1.0,5.0,0,4
brad_wellsandt,HOU,KC,TB,LV,DET,MIA,1,2.0,0.0,0.0,1.0,1.0,4.0,0,4
cforrest,HOU,DET,LAC,GB,CAR,TB,1,2.0,0.0,0.0,0.0,0.0,2.0,0,4
Chief Wahoo,NE,GB,MIN,TB,JAX,BAL,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4
csaul52,HOU,BAL,GB,NE,BUF,DET,1,0.0,0.0,1.0,0.0,1.0,2.0,0,4
Dame,DET,BAL,LAC,CLE,NO,GB,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4
donnybaseballl,BUF,BAL,SEA,DET,NE,GB,1,0.0,1.0,1.0,1.0,0.0,3.0,0,4
durtybirdz,HOU,ATL,LAR,LV,BAL,MIA,1,2.0,1.0,0.0,0.0,1.0,4.0,0,4
edub1321,BUF,DET,PHI,IND,KC,DEN,1,2.0,1.0,0.0,1.0,1.0,5.0,0,4
GeauxPepper,BUF,GB,BAL,NYJ,IND,HOU,1,0.0,0.0,0.0,0.0,1.0,1.0,0,4
gfoster,DEN,WAS,CHI,DET,KC,DAL,1,0.0,1.0,1.0,1.0,1.0,4.0,0,4
Ha'Analytics,DET,NE,ATL,BAL,MIA,CIN,1,2.0,1.0,0.0,1.0,0.0,4.0,0,4
jeff_underscore,DET,LAC,CAR,SEA,WAS,IND,1,0.0,0.0,1.0,0.0,0.0,1.0,0,4
jmsieglaff,BUF,GB,BAL,MIN,DET,LAC,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4
jrhippy,NE,GB,LAR,NYG,NO,MIA,1,0.0,1.0,1.0,1.0,1.0,4.0,0,4
KB,HOU,CAR,CIN,MIA,SF,PHI,1,0.0,0.0,1.0,0.0,1.0,2.0,0,4
Kdube328,HOU,LAR,ATL,SF,GB,MIA,1,2.0,1.0,0.0,0.0,1.0,4.0,0,4
Kell,HOU,LV,BAL,GB,SF,LAR,1,0.0,0.0,0.0,0.0,1.0,1.0,0,4
kregs525,HOU,PHI,SF,BAL,LAR,TEN,1,2.0,0.0,0.0,1.0,0.0,3.0,0,4
laterza12,DET,BAL,MIN,GB,NE,CHI,1,0.0,0.0,0.0,1.0,1.0,2.0,0,4
LebrarianBooker97497,LAC,CLE,DAL,NYG,TEN,NO,0,0.0,1.0,1.0,0.0,1.0,0.0,0,4
LimRon,DET,GB,NO,WAS,LAC,TEN,1,0.0,1.0,0.0,0.0,0.0,1.0,0,4
magicp18,HOU,GB,DET,PHI,LV,KC,1,0.0,1.0,1.0,0.0,1.0,3.0,0,4
markj7237,HOU,MIN,LAR,TB,GB,NYG,1,0.0,1.0,0.0,0.0,1.0,2.0,0,4
mattporter328,HOU,DET,CAR,GB,IND,TB,1,2.0,0.0,0.0,0.0,0.0,2.0,0,4
mbw_87,DET,ATL,NO,CIN,CHI,NYG,1,2.0,1.0,0.0,1.0,1.0,5.0,0,4
melvi$,HOU,LAC,DET,PIT,BUF,MIA,1,0.0,1.0,1.0,0.0,1.0,3.0,0,4
ModelGary,BUF,DET,LV,NE,CIN,MIA,1,2.0,0.0,1.0,0.0,1.0,4.0,0,4
MrTuxedo,BUF,SEA,PHI,ATL,BAL,GB,1,2.0,1.0,1.0,0.0,0.0,4.0,0,4
nolanscougarpie,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
NotaMushMike,LAC,LV,NE,TB,NO,BAL,0,0.0,1.0,0.0,1.0,0.0,0.0,0,4
OddJob,HOU,ATL,LV,GB,MIA,NE,1,2.0,0.0,0.0,1.0,1.0,4.0,0,4
PatrickfromSTL,HOU,GB,LV,DET,MIA,PHI,1,0.0,0.0,1.0,1.0,1.0,3.0,0,4
Pinnacle,HOU,DET,MIN,NO,CIN,LV,1,2.0,0.0,1.0,0.0,0.0,3.0,0,4
Puffinmusket,BUF,BAL,MIN,NE,GB,CIN,1,0.0,0.0,1.0,0.0,0.0,1.0,0,4
rburt23,BUF,LAR,WAS,MIN,CLE,LAC,1,2.0,0.0,0.0,0.0,0.0,2.0,0,4
scanmanfilms,BUF,BAL,CAR,LAC,TB,GB,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4
Southpaw_hack,BUF,DET,GB,BAL,MIN,LV,1,2.0,0.0,0.0,0.0,0.0,2.0,0,4
Spasmus,NE,BAL,GB,SF,ATL,LAR,1,0.0,0.0,0.0,1.0,1.0,2.0,0,4
stonecoldjake,LAC,ATL,GB,SF,PHI,TEN,0,2.0,0.0,0.0,1.0,0.0,0.0,0,4
Sullyinchicago,DEN,DET,BUF,PHI,HOU,CHI,1,2.0,0.0,1.0,1.0,1.0,5.0,0,4
teapars2,GB,ATL,MIA,LAR,BAL,SF,0,2.0,1.0,1.0,0.0,0.0,0.0,0,4
thebutt3r,NE,MIN,LAR,CLE,BAL,ARI,1,0.0,1.0,0.0,0.0,0.0,1.0,0,4
TheWizardofRaz,NE,LAC,IND,ATL,CHI,HOU,1,0.0,0.0,1.0,1.0,1.0,3.0,0,4
TwoBros,HOU,GB,LAR,CHI,CIN,SF,1,0.0,1.0,1.0,0.0,0.0,2.0,0,4
Unhallowed318,BUF,LV,MIN,JAX,LAC,GB,1,0.0,0.0,1.0,0.0,0.0,1.0,0,4
VD,BUF,LAC,MIA,PIT,DEN,IND,1,0.0,1.0,1.0,1.0,0.0,3.0,0,4
Wilkman,HOU,ATL,TB,CHI,NYJ,CLE,1,2.0,0.0,1.0,0.0,0.0,3.0,0,4
wix87,DET,ATL,NE,LV,BAL,GB,1,2.0,1.0,0.0,0.0,0.0,3.0,0,4
Yeager,BUF,LAC,CLE,TB,CAR,JAX,1,0.0,0.0,0.0,0.0,1.0,1.0,0,4
YouDeadMySon,SF,GB,CHI,CIN,WAS,IND,0,0.0,1.0,0.0,0.0,0.0,0.0,0,4
zach voigt,HOU,BAL,GB,IND,JAX,SEA,1,0.0,0.0,0.0,1.0,1.0,2.0,0,4
